GSM / HSPA / LTE;GSM / HSPA / LTE
GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 
1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - Global;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - Global
HSPA 42.2/5.76 Mbps, LTE-A;HSPA 42.2/5.76 Mbps, LTE-A
2020, April 21;2020, April 21
Available. Released 2020, April 29;Available. Released 2020, April 29
162 x 75.5 x 8.9 mm (6.38 x 2.97 x 0.35 in);162 x 75.5 x 8.9 mm (6.38 x 2.97 x 0.35 in)
192 g (6.77 oz);192 g (6.77 oz)
Dual SIM (Nano-SIM, dual stand-by);Dual SIM (Nano-SIM, dual stand-by)
IPS LCD capacitive touchscreen, 16M colors;IPS LCD capacitive touchscreen, 16M colors
6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio);6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio)
1080 x 2400 pixels, 20:9 ratio (~405 ppi density);1080 x 2400 pixels, 20:9 ratio (~405 ppi density)
Corning Gorilla Glass 3;Corning Gorilla Glass 3
480 nits typ. brightness (advertised);480 nits typ. brightness (advertised)
Android 10, ColorOS 7.1;Android 10, ColorOS 7.1
Qualcomm SM6125 Snapdragon 665 (11 nm);Qualcomm SM6125 Snapdragon 665 (11 nm)
Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)
Adreno 610;Adreno 610
microSDXC (dedicated slot);microSDXC (dedicated slot)
128GB 4GB RAM, 128GB 8GB RAM;128GB 4GB RAM, 128GB 8GB RAM
UFS 2.1;UFS 2.1
48 MP, f/1.7, (wide), 1/2.0", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0", 1.12µm
2 MP, f/2.4, (depth)
2 MP B/W, f/2.4;48 MP, f/1.7, (wide), 1/2.0", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0", 1.12µm
2 MP, f/2.4, (depth)
2 MP B/W, f/2.4
LED flash, HDR, panorama;LED flash, HDR, panorama
4K@30fps, 1080p@30/120fps, gyro-EIS;4K@30fps, 1080p@30/120fps, gyro-EIS
16 MP, f/2.0, (wide), 1/3.1, 1.0µm;16 MP, f/2.0, (wide), 1/3.1, 1.0µm
HDR;HDR
1080p@30fps;1080p@30fps
Yes, with stereo speakers;Yes, with stereo speakers
Yes;Yes
24-bit/192kHz audio;24-bit/192kHz audio
Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
5.0, A2DP, LE;5.0, A2DP, LE
Yes, with A-GPS, GLONASS, GALILEO, BDS;Yes, with A-GPS, GLONASS, GALILEO, BDS
Yes;Yes
2.0, Type-C 1.0 reversible connector, USB On-The-Go;2.0, Type-C 1.0 reversible connector, USB On-The-Go
Fingerprint (side-mounted), accelerometer, proximity, compass;Fingerprint (side-mounted), accelerometer, proximity, compass
Non-removable Li-Po 5000 mAh battery;Non-removable Li-Po 5000 mAh battery
Fast charging 18W;Fast charging 18W
Twilight Black, Stream White, Sky Blue, Aurora Purple;Twilight Black, Stream White, Sky Blue, Aurora Purple
CPH2067;CPH2067
0.48 W/kg (head)     0.92 W/kg (body)     ;0.48 W/kg (head)     0.92 W/kg (body)     
€ 358.65;€ 358.65
